run_id,variant,run_type,run_index,application_count,worker_count,app_id,pid,start_time_ticks,generation,phase,serial_wait_us,artifact_prepare_us,phase3_artifact_scan_us,parent_prepare_us,fork_wait_wall_us,child_profiled_total_us,startup_uninstrumented_residual_us,direct_api_us,file_io_us,result_parse_us,total_phase_us,pipeline_total_us,pipeline_service_rate_apps_sec,aggregate_throughput,benchmark_elapsed_ms,runtime_cpu_percent,runtime_rss_kb,runtime_vms_kb,completion_latency_us,status,notes
phase46-a1-measured-7,SUBPROCESS_SERIAL_BASELINE,MEASURED,7,1,2,APP_253923_47203464,253923,47203464,3,phase5,184.671,108.524,62.765,42.868,4795.397,1168.119,3627.278,,NA,NA,4883.614,48215.690,62.220,4997435.845,3544.077,24.567,5612.000,155620.000,NA,OK,Error: target PID 253923 is unavailable for one sample.
phase46-a1-measured-7,SUBPROCESS_SERIAL_BASELINE,MEASURED,7,1,2,APP_253923_47203464,253923,47203464,3,phase6,184.671,108.524,62.765,41.650,4177.312,543.701,3633.611,,163.926,68.922,4265.004,48215.690,62.220,4997435.845,3544.077,24.567,5612.000,155620.000,NA,OK,Error: target PID 253923 is unavailable for one sample.
phase46-a1-measured-8,SUBPROCESS_SERIAL_BASELINE,MEASURED,8,1,2,APP_253980_47203883,253980,47203883,1,phase4,287.989,134.773,57.952,94.734,4559.381,305.548,4253.833,,366.049,NA,4722.538,55720.566,53.840,4847487.208,3656.300,23.324,5748.000,155628.000,NA,OK,
phase46-a1-measured-8,SUBPROCESS_SERIAL_BASELINE,MEASURED,8,1,2,APP_253980_47203883,253980,47203883,1,phase5,287.989,134.773,57.952,45.028,8614.152,3177.640,5436.512,,NA,NA,8714.439,55720.566,53.840,4847487.208,3656.300,23.324,5748.000,155628.000,NA,OK,
phase46-a1-measured-8,SUBPROCESS_SERIAL_BASELINE,MEASURED,8,1,2,APP_253980_47203883,253980,47203883,1,phase6,287.989,134.773,57.952,55.233,8044.970,1226.620,6818.350,,221.609,244.976,8170.226,55720.566,53.840,4847487.208,3656.300,23.324,5748.000,155628.000,NA,OK,
phase46-a1-measured-8,SUBPROCESS_SERIAL_BASELINE,MEASURED,8,1,2,APP_253980_47203883,253980,47203883,2,phase4,240.655,149.131,74.446,53.625,4709.582,452.392,4257.190,,514.545,NA,4813.463,55720.566,53.840,4847487.208,3656.300,23.324,5748.000,155628.000,NA,OK,
phase46-a1-measured-8,SUBPROCESS_SERIAL_BASELINE,MEASURED,8,1,2,APP_253980_47203883,253980,47203883,2,phase5,240.655,149.131,74.446,53.341,5021.714,1140.724,3880.990,,NA,NA,5131.335,55720.566,53.840,4847487.208,3656.300,23.324,5748.000,155628.000,NA,OK,
phase46-a1-measured-8,SUBPROCESS_SERIAL_BASELINE,MEASURED,8,1,2,APP_253980_47203883,253980,47203883,2,phase6,240.655,149.131,74.446,62.966,4922.013,533.222,4388.791,,274.619,85.772,5036.663,55720.566,53.840,4847487.208,3656.300,23.324,5748.000,155628.000,NA,OK,
phase46-a1-measured-8,SUBPROCESS_SERIAL_BASELINE,MEASURED,8,1,2,APP_253980_47203883,253980,47203883,3,phase4,247.220,192.159,85.066,56.506,4727.113,328.811,4398.302,,653.741,NA,4828.971,55720.566,53.840,4847487.208,3656.300,23.324,5748.000,155628.000,NA,OK,
phase46-a1-measured-8,SUBPROCESS_SERIAL_BASELINE,MEASURED,8,1,2,APP_253980_47203883,253980,47203883,3,phase5,247.220,192.159,85.066,39.470,4824.908,1219.992,3604.916,,NA,NA,4911.426,55720.566,53.840,4847487.208,3656.300,23.324,5748.000,155628.000,NA,OK,
