scope,application_count,worker_count,mode,metric,count,mean,median,min,max,stddev,status
APPLICATION,4,1,BASELINE,mean_completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,4,1,BASELINE,mean_pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,4,1,BASELINE,mean_phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,4,1,BASELINE,mean_phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,4,1,BASELINE,mean_phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,4,1,BASELINE,mean_phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,4,1,INTEGRATED,benchmark_elapsed_ms,20,4953.829,5009.447,4089.303,5922.491,538.375,MEASURED
APPLICATION,4,1,INTEGRATED,benchmark_throughput,20,3641601.644,3561686.026,3012453.678,4362903.054,390820.129,MEASURED
APPLICATION,4,1,INTEGRATED,mean_queue_wait_us,20,5125.486,4696.780,580.217,11639.913,3519.631,MEASURED
APPLICATION,4,1,INTEGRATED,mean_completion_latency_us,20,7998.332,8148.216,3024.818,14715.259,3567.462,MEASURED
APPLICATION,4,1,INTEGRATED,mean_pipeline_serial_wait_us,20,38036.884,37002.219,211.767,89569.734,29395.996,MEASURED
APPLICATION,4,1,INTEGRATED,mean_phase3_us,20,2826.200,2615.153,2057.357,4547.621,604.178,MEASURED
APPLICATION,4,1,INTEGRATED,mean_phase4_us,20,7406.453,6837.651,4855.646,10844.456,1694.214,MEASURED
APPLICATION,4,1,INTEGRATED,mean_phase5_us,20,8839.631,8563.851,6122.401,15973.773,2150.333,MEASURED
APPLICATION,4,1,INTEGRATED,mean_phase6_us,20,7151.488,6866.761,5461.925,9222.586,1116.747,MEASURED
APPLICATION,4,2,BASELINE,benchmark_elapsed_ms,40,3802.566,3969.970,2005.413,5409.275,864.898,MEASURED
APPLICATION,4,2,BASELINE,benchmark_throughput,40,4995563.692,4494055.408,3298266.401,8896537.794,1421626.855,MEASURED
