timestamp,interval_ms,mode,run_type,run_index,benchmark_elapsed_ms,benchmark_throughput_ops_sec,runtime_cpu_percent,runtime_rss_kb,discovery_scans,discovery_total_us,discovery_mean_us,runtime_cycle_total_us,status,notes
2026-08-20T15:15:43Z,500,INTEGRATED,MEASURED,1,1200.205,18410085.845,15.365,4776.000,3.000,139354.436,46451.479,1233114.700,MEASURED,
2026-08-20T15:15:44Z,500,BASELINE,MEASURED,2,1200.189,19022928.121,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:15:45Z,500,INTEGRATED,MEASURED,2,1200.171,18450706.230,13.785,4568.000,3.000,114458.132,38152.711,1232055.081,MEASURED,
2026-08-20T15:15:46Z,500,BASELINE,MEASURED,3,1200.321,19184621.239,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:15:48Z,500,INTEGRATED,MEASURED,3,1200.125,18885709.953,14.710,4688.000,3.000,129772.426,43257.475,1220903.253,MEASURED,
2026-08-20T15:15:49Z,500,BASELINE,MEASURED,4,1200.267,19076293.595,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:15:50Z,500,INTEGRATED,MEASURED,4,1200.245,18495635.153,13.771,4700.000,3.000,114385.602,38128.534,1233168.217,MEASURED,
2026-08-20T15:15:51Z,500,BASELINE,MEASURED,5,1200.210,18096038.426,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:15:53Z,500,INTEGRATED,MEASURED,5,1200.188,16617773.732,17.783,4812.000,3.000,157947.917,52649.306,1234817.721,MEASURED,
2026-08-20T15:15:57Z,1000,BASELINE,WARMUP,1,1200.296,18911173.873,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:15:58Z,1000,INTEGRATED,WARMUP,1,1200.225,19004432.061,10.458,4832.000,2.000,69867.987,34933.993,1241393.806,MEASURED,
2026-08-20T15:15:59Z,1000,BASELINE,WARMUP,2,1200.214,18924409.069,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:16:00Z,1000,INTEGRATED,WARMUP,2,1200.230,17931066.128,13.683,4832.000,2.000,113292.814,56646.407,1240570.824,MEASURED,
2026-08-20T15:16:02Z,1000,BASELINE,WARMUP,3,1200.208,18549959.506,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:16:03Z,1000,INTEGRATED,WARMUP,3,1200.142,18662757.608,11.405,4664.000,2.000,83613.877,41806.939,1227256.787,MEASURED,
2026-08-20T15:16:04Z,1000,BASELINE,WARMUP,4,1200.190,18346323.101,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:16:05Z,1000,INTEGRATED,WARMUP,4,1200.161,18099334.750,12.902,4836.000,2.000,92042.226,46021.113,1239097.987,MEASURED,
2026-08-20T15:16:07Z,1000,BASELINE,WARMUP,5,1200.116,18501043.536,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:16:08Z,1000,INTEGRATED,WARMUP,5,1200.167,17623150.529,12.113,4772.000,2.000,90630.448,45315.224,1234884.313,MEASURED,
2026-08-20T15:16:09Z,1000,BASELINE,MEASURED,1,1200.255,18608106.585,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:16:10Z,1000,INTEGRATED,MEASURED,1,1200.202,17530484.316,12.299,4832.000,2.000,97917.094,48958.547,1216030.792,MEASURED,
2026-08-20T15:16:12Z,1000,BASELINE,MEASURED,2,1200.206,18633603.762,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:16:13Z,1000,INTEGRATED,MEASURED,2,1200.129,17819095.479,13.779,4832.000,2.000,105173.760,52586.880,1231000.033,MEASURED,
2026-08-20T15:16:14Z,1000,BASELINE,MEASURED,3,1200.185,18544339.258,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:16:15Z,1000,INTEGRATED,MEASURED,3,1200.145,18260837.423,11.353,4708.000,2.000,85286.532,42643.266,1234438.414,MEASURED,
2026-08-20T15:16:17Z,1000,BASELINE,MEASURED,4,1200.266,18243628.516,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:16:18Z,1000,INTEGRATED,MEASURED,4,1200.140,18137188.228,11.362,4704.000,2.000,84274.269,42137.135,1230858.132,MEASURED,
2026-08-20T15:16:19Z,1000,BASELINE,MEASURED,5,1200.123,18212536.418,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:16:20Z,1000,INTEGRATED,MEASURED,5,1200.210,18427921.258,13.142,4832.000,2.000,94872.551,47436.276,1216410.151,MEASURED,
