variant,application_count,phase,metric,count,mean,median,min,max,stddev,status
PHASE4_IN_PROCESS,4,phase6,serial_wait_us,98,35596.209,31982.787,194.963,107216.340,28679.843,MEASURED
PHASE4_IN_PROCESS,4,phase6,parent_prepare_us,98,57.064,55.079,37.270,96.117,10.950,MEASURED
PHASE4_IN_PROCESS,4,phase6,fork_wait_wall_us,98,9775.571,8756.757,4533.190,21704.686,4117.110,MEASURED
PHASE4_IN_PROCESS,4,phase6,child_profiled_total_us,98,1455.206,868.619,521.072,8029.614,1448.160,MEASURED
PHASE4_IN_PROCESS,4,phase6,startup_uninstrumented_residual_us,98,8320.365,7552.379,3943.825,18422.574,3488.700,MEASURED
PHASE4_IN_PROCESS,4,phase6,direct_api_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,4,phase6,file_io_us,98,442.571,224.740,160.856,4633.667,802.635,MEASURED
PHASE4_IN_PROCESS,4,phase6,result_parse_us,98,116.145,85.407,68.646,2815.002,276.259,MEASURED
PHASE4_IN_PROCESS,4,phase6,total_phase_us,98,9898.872,8960.822,4644.816,21819.408,4118.663,MEASURED
PHASE4_IN_PROCESS,4,phase6,pipeline_total_us,98,449994.205,441289.897,371092.719,505805.086,46523.489,MEASURED
PHASE4_IN_PROCESS,4,phase6,pipeline_service_rate_apps_sec,98,43.958,45.322,39.541,48.505,3.308,MEASURED
PHASE4_IN_PROCESS,4,phase6,aggregate_throughput,98,12548112.498,12514958.774,12377415.857,12773571.831,130390.323,MEASURED
PHASE4_IN_PROCESS,4,phase6,runtime_cpu_percent,98,33.376,33.325,32.518,34.151,0.546,MEASURED
PHASE4_IN_PROCESS,4,phase6,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,8,phase4,serial_wait_us,271,126205.613,119332.819,184.080,352266.752,89244.317,MEASURED
PHASE4_IN_PROCESS,8,phase4,parent_prepare_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,8,phase4,fork_wait_wall_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,8,phase4,child_profiled_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,8,phase4,startup_uninstrumented_residual_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,8,phase4,direct_api_us,271,892.630,532.999,256.524,13410.036,1564.237,MEASURED
PHASE4_IN_PROCESS,8,phase4,file_io_us,271,875.366,544.663,237.530,13139.022,1572.107,MEASURED
PHASE4_IN_PROCESS,8,phase4,result_parse_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,8,phase4,total_phase_us,271,904.435,541.977,269.938,13422.564,1565.136,MEASURED
PHASE4_IN_PROCESS,8,phase4,pipeline_total_us,271,2023482.853,2065731.321,1844200.639,2093827.126,89572.101,MEASURED
PHASE4_IN_PROCESS,8,phase4,pipeline_service_rate_apps_sec,271,26.857,27.176,25.173,27.700,0.930,MEASURED
PHASE4_IN_PROCESS,8,phase4,aggregate_throughput,271,14114327.387,14210059.909,13604791.590,14564025.612,319486.964,MEASURED
PHASE4_IN_PROCESS,8,phase4,runtime_cpu_percent,271,32.654,32.534,31.627,33.932,0.779,MEASURED
PHASE4_IN_PROCESS,8,phase4,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,8,phase5,serial_wait_us,271,126205.613,119332.819,184.080,352266.752,89244.317,MEASURED
PHASE4_IN_PROCESS,8,phase5,parent_prepare_us,271,63.786,50.380,39.170,2712.966,162.259,MEASURED
PHASE4_IN_PROCESS,8,phase5,fork_wait_wall_us,271,18265.031,16901.787,4874.841,83410.410,7521.163,MEASURED
PHASE4_IN_PROCESS,8,phase5,child_profiled_total_us,271,4450.056,4138.159,1192.222,60384.243,4420.591,MEASURED
PHASE4_IN_PROCESS,8,phase5,startup_uninstrumented_residual_us,271,13814.975,12788.377,3664.300,45827.334,5847.581,MEASURED
PHASE4_IN_PROCESS,8,phase5,direct_api_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,8,phase5,file_io_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,8,phase5,result_parse_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,8,phase5,total_phase_us,271,18432.367,17067.493,6474.437,83517.124,7512.877,MEASURED
PHASE4_IN_PROCESS,8,phase5,pipeline_total_us,271,2023482.853,2065731.321,1844200.639,2093827.126,89572.101,MEASURED
PHASE4_IN_PROCESS,8,phase5,pipeline_service_rate_apps_sec,271,26.857,27.176,25.173,27.700,0.930,MEASURED
PHASE4_IN_PROCESS,8,phase5,aggregate_throughput,271,14114327.387,14210059.909,13604791.590,14564025.612,319486.964,MEASURED
PHASE4_IN_PROCESS,8,phase5,runtime_cpu_percent,271,32.654,32.534,31.627,33.932,0.779,MEASURED
PHASE4_IN_PROCESS,8,phase5,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,8,phase6,serial_wait_us,271,126205.613,119332.819,184.080,352266.752,89244.317,MEASURED
PHASE4_IN_PROCESS,8,phase6,parent_prepare_us,271,84.336,56.153,42.862,6709.191,404.203,MEASURED
PHASE4_IN_PROCESS,8,phase6,fork_wait_wall_us,271,15851.208,15520.538,5362.666,37557.252,5599.036,MEASURED
PHASE4_IN_PROCESS,8,phase6,child_profiled_total_us,271,1485.630,689.337,394.748,10949.638,1799.837,MEASURED
PHASE4_IN_PROCESS,8,phase6,startup_uninstrumented_residual_us,271,14365.578,13850.054,4740.482,36823.683,5561.739,MEASURED
PHASE4_IN_PROCESS,8,phase6,direct_api_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
