workload,mode,metric,count,mean,median,min,max,stddev,status
hot,BASELINE,worker_execution_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,coordinator_overhead_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,queue_depth_max,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,runtime_cycle_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,runtime_cycle_count,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,jobs_submitted,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,jobs_executed,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,jobs_deferred,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,queue_saturation_events,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,INTEGRATED,benchmark_elapsed_ms,5,150.896,151.805,136.103,164.139,9.981,MEASURED
hot,INTEGRATED,benchmark_throughput_ops_sec,5,13301676.089,13174812.411,12184804.321,14694723.981,899997.004,MEASURED
hot,INTEGRATED,runtime_cpu_percent,5,54.848,53.649,52.132,59.543,3.045,MEASURED
hot,INTEGRATED,runtime_rss_kb,5,4563.200,4576.000,4432.000,4688.000,101.446,MEASURED
hot,INTEGRATED,runtime_vms_kb,5,154613.600,154620.000,154596.000,154628.000,16.395,MEASURED
hot,INTEGRATED,benchmark_cpu_percent,5,175.523,174.117,166.284,187.317,7.825,MEASURED
hot,INTEGRATED,benchmark_rss_kb,5,10107.200,10056.000,10056.000,10184.000,70.108,MEASURED
hot,INTEGRATED,discovery_us,5,46115.206,45491.537,43279.047,50341.338,2715.334,MEASURED
hot,INTEGRATED,queue_wait_us,5,90.746,84.721,59.430,122.528,26.687,MEASURED
hot,INTEGRATED,worker_execution_us,5,1941.831,1864.567,1628.475,2294.016,272.667,MEASURED
hot,INTEGRATED,phase3_us,5,1937.615,1858.990,1625.199,2288.433,272.078,MEASURED
hot,INTEGRATED,pipeline_serial_wait_us,5,219.774,216.959,195.263,246.922,19.789,MEASURED
hot,INTEGRATED,phase4_us,5,3582.843,3578.643,3299.594,3815.713,227.878,MEASURED
hot,INTEGRATED,phase5_us,5,4118.231,3777.718,3517.815,5735.588,915.452,MEASURED
hot,INTEGRATED,phase6_us,5,3729.886,3300.046,2988.523,5776.699,1152.315,MEASURED
hot,INTEGRATED,coordinator_overhead_us,5,699.981,685.917,589.971,798.779,80.364,MEASURED
hot,INTEGRATED,completion_latency_us,5,2078.424,2044.352,1741.035,2428.188,287.687,MEASURED
hot,INTEGRATED,queue_depth_max,5,0.000,0.000,0.000,0.000,0.000,MEASURED
hot,INTEGRATED,runtime_cycle_total_us,5,95720.796,94146.246,90758.051,101771.560,4866.658,MEASURED
hot,INTEGRATED,runtime_cycle_count,5,1.000,1.000,1.000,1.000,0.000,MEASURED
hot,INTEGRATED,jobs_submitted,5,1.000,1.000,1.000,1.000,0.000,MEASURED
hot,INTEGRATED,jobs_executed,5,1.000,1.000,1.000,1.000,0.000,MEASURED
hot,INTEGRATED,jobs_deferred,5,0.000,0.000,0.000,0.000,0.000,MEASURED
hot,INTEGRATED,queue_saturation_events,5,0.000,0.000,0.000,0.000,0.000,MEASURED
moderate,BASELINE,benchmark_elapsed_ms,5,232.049,231.553,206.548,260.749,19.260,MEASURED
moderate,BASELINE,benchmark_throughput_ops_sec,5,8666053.915,8637334.207,7670206.994,9682961.116,713272.091,MEASURED
moderate,BASELINE,runtime_cpu_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,runtime_rss_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
