workload,mode,metric,count,mean,median,min,max,stddev,status
moderate,BASELINE,runtime_rss_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,runtime_vms_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,benchmark_cpu_percent,5,183.369,185.186,172.973,189.554,6.554,MEASURED
moderate,BASELINE,benchmark_rss_kb,5,10068.800,10056.000,9992.000,10184.000,70.108,MEASURED
moderate,BASELINE,discovery_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,worker_execution_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,coordinator_overhead_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,queue_depth_max,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,runtime_cycle_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,runtime_cycle_count,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,jobs_submitted,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,jobs_executed,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,jobs_deferred,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,BASELINE,queue_saturation_events,0,NA,NA,NA,NA,NA,UNAVAILABLE
moderate,INTEGRATED,benchmark_elapsed_ms,5,241.420,240.885,225.738,253.623,11.294,MEASURED
moderate,INTEGRATED,benchmark_throughput_ops_sec,5,8299029.882,8302734.264,7885734.229,8859826.100,393350.188,MEASURED
moderate,INTEGRATED,runtime_cpu_percent,5,56.015,53.058,45.692,66.402,8.404,MEASURED
moderate,INTEGRATED,runtime_rss_kb,5,4533.600,4496.000,4368.000,4688.000,124.052,MEASURED
moderate,INTEGRATED,runtime_vms_kb,5,154599.200,154588.000,154588.000,154616.000,15.336,MEASURED
moderate,INTEGRATED,benchmark_cpu_percent,5,184.936,183.629,182.288,189.343,2.845,MEASURED
moderate,INTEGRATED,benchmark_rss_kb,5,10081.600,10056.000,10056.000,10184.000,57.243,MEASURED
moderate,INTEGRATED,discovery_us,5,53805.552,54947.546,42684.612,58973.786,6492.938,MEASURED
moderate,INTEGRATED,queue_wait_us,5,197.294,87.880,77.643,632.588,243.520,MEASURED
moderate,INTEGRATED,worker_execution_us,5,1991.460,1840.813,1766.118,2649.360,373.987,MEASURED
moderate,INTEGRATED,phase3_us,5,1987.308,1836.977,1762.319,2643.688,373.172,MEASURED
moderate,INTEGRATED,pipeline_serial_wait_us,5,270.883,280.932,230.421,291.290,23.829,MEASURED
moderate,INTEGRATED,phase4_us,5,5349.202,5144.643,3793.680,8242.894,1814.911,MEASURED
moderate,INTEGRATED,phase5_us,5,5701.669,6208.506,4280.607,7256.943,1293.927,MEASURED
moderate,INTEGRATED,phase6_us,5,6361.268,5228.015,4937.085,11058.531,2631.045,MEASURED
moderate,INTEGRATED,coordinator_overhead_us,5,907.905,859.312,838.427,999.921,78.495,MEASURED
moderate,INTEGRATED,completion_latency_us,5,2241.698,2085.313,1900.909,2803.104,381.931,MEASURED
moderate,INTEGRATED,queue_depth_max,5,0.000,0.000,0.000,0.000,0.000,MEASURED
moderate,INTEGRATED,runtime_cycle_total_us,5,108477.930,109312.131,100701.436,114029.594,4975.405,MEASURED
moderate,INTEGRATED,runtime_cycle_count,5,1.000,1.000,1.000,1.000,0.000,MEASURED
moderate,INTEGRATED,jobs_submitted,5,1.000,1.000,1.000,1.000,0.000,MEASURED
moderate,INTEGRATED,jobs_executed,5,1.000,1.000,1.000,1.000,0.000,MEASURED
moderate,INTEGRATED,jobs_deferred,5,0.000,0.000,0.000,0.000,0.000,MEASURED
